job_role,soc_code,onet_title
Sales Executive,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Research Scientist,15-1221.00,Computer and Information Research Scientists
Laboratory Technician,29-2012.00,Medical and Clinical Laboratory Technicians
Manufacturing Director,11-1021.00,General and Operations Managers
Healthcare Representative,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Manager,11-1021.00,General and Operations Managers
Sales Representative,41-4012.00,"Sales Representatives, Wholesale and Manufacturing"
Research Director,11-9121.00,Natural Sciences Managers
Human Resources,13-1071.00,Human Resources Specialists
Software Engineer,15-1252.00,Software Developers
Data Analyst,15-2051.01,Business Intelligence Analysts
Cybersecurity Specialist,15-1212.00,Information Security Analysts
Accountant,13-2011.00,Accountants and Auditors
Financial Analyst,13-2051.00,Financial and Investment Analysts
Marketing Executive,11-2021.00,Marketing Managers
Content Strategist,27-3042.00,Technical Writers
Employee Relations,13-1075.00,Labor Relations Specialists
Business Development,11-2022.00,Sales Managers
Account Manager,41-4012.00,"Sales Representatives, Wholesale and Manufacturing"
HR Manager,11-3121.00,Human Resources Managers
Auditor,13-2011.00,Accountants and Auditors
Recruitment Specialist,13-1071.00,Human Resources Specialists
SEO Specialist,15-1255.01,Video Game Designers / Web Specialists
