employee_id,department,job_role,monthly_income,years_at_company,attrition_probability,attrition_risk_level,engagement_score,current_skills_count,missing_skills_count,career_readiness_pct,missing_skills,recommended_learning_plan
1,Sales,Sales Executive,5993,6,0.6589,HIGH,62.5,9,10,47.37,Adobe Acrobat|Adobe Creative Cloud software|Adobe InDesign|Adobe Photoshop|Apple macOS|Microsoft Office software|Monitoring|Reading Comprehension|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
2,Research & Development,Research Scientist,5130,10,0.1523,LOW,68.75,11,11,50.0,Amazon Web Services AWS software|Ansible software|Apache Spark|Bash|Critical Thinking|Git|GitHub|Go|Learning Strategies|Monitoring|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
4,Research & Development,Laboratory Technician,2090,0,0.5247,MEDIUM,68.75,9,11,45.0,Active Learning|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|MEDITECH software|Microsoft PowerPoint|Microsoft Word|SAP software|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
5,Research & Development,Research Scientist,2909,8,0.4046,MEDIUM,81.25,10,12,45.45,Active Learning|Active Listening|Apache Hadoop|C|Docker|GitHub|Go|Mathematics|Monitoring|Reading Comprehension|Science|Speaking,Executive Communication & Stakeholder Alignment (C-SOFT-02)
7,Research & Development,Laboratory Technician,3468,2,0.263,LOW,62.5,9,11,45.0,Active Learning|Active Listening|Billing software|Critical Thinking|Data entry software|Database software|Microsoft Office software|Microsoft Word|Monitoring|SAP software|Science,Executive Communication & Stakeholder Alignment (C-SOFT-02)
8,Research & Development,Laboratory Technician,3068,7,0.0688,LOW,87.5,9,11,45.0,Active Learning|Billing software|Commercial plate reader software|Google Docs|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Reading Comprehension|Science|Speaking|Writing,Critical Thinking & Complex Decision Making (C-SOFT-01)
10,Research & Development,Laboratory Technician,2670,1,0.2321,LOW,56.25,10,10,50.0,Commercial plate reader software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Office software|Microsoft PowerPoint|Monitoring|Science|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
11,Research & Development,Laboratory Technician,2693,1,0.3674,MEDIUM,75.0,8,12,40.0,Active Listening|Critical Thinking|Data entry software|Google Docs|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Science|Speaking|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
12,Research & Development,Manufacturing Director,9526,9,0.1104,LOW,68.75,10,10,50.0,Active Learning|Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Apple macOS|Autodesk AutoCAD|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Writing,Executive Communication & Stakeholder Alignment (C-SOFT-02)
13,Research & Development,Healthcare Representative,5237,7,0.0754,LOW,68.75,11,8,57.89,Apache Hadoop|HubSpot software|Intuit QuickBooks|Microsoft Excel|Microsoft Office software|Reading Comprehension|Salesforce software|Speaking,Critical Thinking & Complex Decision Making (C-SOFT-01)
